uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
ABCC8-D003920	1	5	ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2019	2470	D003920	Diabetes Mellitus	OMIM	NA	Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	genetically supported target
ABCC8-D003924	1	5	ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2478	D003924	Diabetes Mellitus, Type 2	OMIM	NA	Diabetes mellitus, noninsulin-dependent, 125853 (3), Autosomal dominant	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	genetically supported target
ABCC8-D006973	1	1	ABCC8-D006973	ABCC8	D006973	Hypertension	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2501	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006228	2016	NA	NA	0.636866059817945	0.13	3	Preclinical	0.13	3	0	both	genetically supported target
ABCC8-D009203	0.531	2	ABCC8-D009203	ABCC8	D009203	Myocardial Infarction	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	2501	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006228	2016	NA	NA	0.636866059817945	0.13	3	Phase I	0.13	3	1	gwas	unsupported target
ABCC8-D013345	0.492	2	ABCC8-D013345	ABCC8	D013345	Subarachnoid Hemorrhage	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	2501	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006228	2016	NA	NA	0.636866059817945	0.13	3	Phase I	0.13	3	1	gwas	unsupported target
ABCC8-D020521	0.532	4	ABCC8-D020521	ABCC8	D020521	Stroke	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	2501	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006228	2016	NA	NA	0.636866059817945	0.13	3	Phase III	0.13	3	2	gwas	unsupported target
ABCC9-D000505	0.595	5	ABCC9-D000505	ABCC9	D000505	Alopecia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2525	D006332	Cardiomegaly	OMIM	NA	Hypertrichotic osteochondrodysplasia (Cantu syndrome), 239850 (3), Autosomal dominant	https://omim.org/entry/601439	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
ABCC9-D000506	0.573	5	ABCC9-D000506	ABCC9	D000506	Alopecia Areata	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2525	D006332	Cardiomegaly	OMIM	NA	Hypertrichotic osteochondrodysplasia (Cantu syndrome), 239850 (3), Autosomal dominant	https://omim.org/entry/601439	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
ABCC9-D000787	0.515	1	ABCC9-D000787	ABCC9	D000787	Angina Pectoris	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2527	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST006629	2018	NA	NA	0.549153645833333	0.62	1	Preclinical	0.62	1	0	gwas	unsupported target
ABCC9-D002318	0.527	1	ABCC9-D002318	ABCC9	D002318	Cardiovascular Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2527	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST006629	2018	NA	NA	0.549153645833333	0.62	1	Preclinical	0.62	1	0	gwas	unsupported target
ABCC9-D003920	0.248	1	ABCC9-D003920	ABCC9	D003920	Diabetes Mellitus	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2527	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST006629	2018	NA	NA	0.549153645833333	0.62	1	Preclinical	0.62	1	0	both	unsupported target
ABCC9-D006973	1	1	ABCC9-D006973	ABCC9	D006973	Hypertension	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2527	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST006629	2018	NA	NA	0.549153645833333	0.62	1	Preclinical	0.62	1	0	both	genetically supported target
ABCC9-D007676	0.376	1	ABCC9-D007676	ABCC9	D007676	Kidney Failure, Chronic	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2526	D006932	Hyperbilirubinemia	OTG	NA	Total bilirubin levels	https://genetics.opentargets.org/study/GCST90019521	2021	NA	NA	0.037848347375243	0.82	1	Preclinical	0.82	1	0	both	unsupported target
ABCC9-D058186	0.197	1	ABCC9-D058186	ABCC9	D058186	Acute Kidney Injury	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	2527	D006973	Hypertension	OTG	NA	Pulse pressure	https://genetics.opentargets.org/study/GCST006629	2018	NA	NA	0.549153645833333	0.62	1	Preclinical	0.62	1	NA	gwas	unsupported target
ABCD1-D000326	1	5	ABCD1-D000326	ABCD1	D000326	Adrenoleukodystrophy	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	genetically supported target
ABCD1-D005953	0.495	1	ABCD1-D005953	ABCD1	D005953	Glycogen Storage Disease Type I	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	omim/tcga	unsupported target
ABCD1-D006937	0.404	3	ABCD1-D006937	ABCD1	D006937	Hypercholesterolemia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABCD1-D065626	0.179	3	ABCD1-D065626	ABCD1	D065626	Non-alcoholic Fatty Liver Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABCG2-D009369	0.513	1	ABCG2-D009369	ABCG2	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	2775	D001943	Breast Neoplasms	OTG	NA	Breast cancer	https://genetics.opentargets.org/study/GCST004988	2017	NA	NA	0.443706885331251	0.14	3	Preclinical	0.14	3	0	gwas	unsupported target
ABCG5-D006949	1	1	ABCG5-D006949	ABCG5	D006949	Hyperlipidemias	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	3029	D006949	Hyperlipidemias	OTG	NA	Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018	NA	NA	0.679615434584903	0.23	2	Preclinical	0.23	2	0	both	genetically supported target
ABCG8-D006949	1	1	ABCG8-D006949	ABCG8	D006949	Hyperlipidemias	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	3237	D006949	Hyperlipidemias	OTG	NA	Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018	NA	NA	0.679615434584903	0.65	1	Preclinical	0.65	1	0	both	genetically supported target
ABL1-D000086382	0	4	ABL1-D000086382	ABL1	D000086382	COVID-19	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3864	D000428	Alcohol Drinking	Genebass	pLoF skat continuous both_sexes	Frequency of memory loss due to drinking alcohol in last year	https://genebass.org/gene/ENSG00000097007/phenotype/continuous-20408-both_sexes-NA-NA?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021	NA	NA	NA	NA	NA	Phase III	NA	NA	2	gwas	unsupported target
ABL1-D000544	0.378	4	ABL1-D000544	ABL1	D000544	Alzheimer Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase III	0.12	4	2	both	unsupported target
ABL1-D000690	0.358	2	ABL1-D000690	ABL1	D000690	Amyotrophic Lateral Sclerosis	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase I	0.12	4	0	both	unsupported target
ABL1-D001650	0.517	3	ABL1-D001650	ABL1	D001650	Bile Duct Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D001932	0.547	3	ABL1-D001932	ABL1	D001932	Brain Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D001943	0.549	3	ABL1-D001943	ABL1	D001943	Breast Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D002289	0.526	3	ABL1-D002289	ABL1	D002289	Carcinoma, Non-Small-Cell Lung	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D003680	0.68	2	ABL1-D003680	ABL1	D003680	Deglutition Disorders	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase I	0.12	4	0	gwas	unsupported target
ABL1-D004938	0.527	3	ABL1-D004938	ABL1	D004938	Esophageal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D005128	0.313	1	ABL1-D005128	ABL1	D005128	Eye Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Preclinical	0.75	1	0	gwas	unsupported target
ABL1-D005909	0.386	3	ABL1-D005909	ABL1	D005909	Glioblastoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	gwas	unsupported target
ABL1-D006258	0.554	3	ABL1-D006258	ABL1	D006258	Head and Neck Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D006816	0.467	2	ABL1-D006816	ABL1	D006816	Huntington Disease	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase I	0.12	4	0	both	unsupported target
ABL1-D006976	0.392	4	ABL1-D006976	ABL1	D006976	Hypertension, Pulmonary	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3875	D006330	Heart Defects, Congenital	OMIM	NA	Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant	https://omim.org/entry/189980	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	2	omim/tcga	unsupported target
ABL1-D007674	0.534	1	ABL1-D007674	ABL1	D007674	Kidney Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
ABL1-D007680	0.764	3	ABL1-D007680	ABL1	D007680	Kidney Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D007690	0.486	3	ABL1-D007690	ABL1	D007690	Polycystic Kidney Diseases	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D007938	0.418	3	ABL1-D007938	ABL1	D007938	Leukemia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	omim/tcga	unsupported target
ABL1-D008415	0.263	3	ABL1-D008415	ABL1	D008415	Mastocytosis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	2	both	unsupported target
ABL1-D008527	0.379	3	ABL1-D008527	ABL1	D008527	Medulloblastoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	gwas	unsupported target
ABL1-D008545	0.404	3	ABL1-D008545	ABL1	D008545	Melanoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D009101	0.513	2	ABL1-D009101	ABL1	D009101	Multiple Myeloma	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase I	0.75	1	0	gwas	unsupported target
ABL1-D009190	0.547	3	ABL1-D009190	ABL1	D009190	Myelodysplastic Syndromes	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	1	omim/tcga	unsupported target
ABL1-D009369	0.465	3	ABL1-D009369	ABL1	D009369	Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	gwas	unsupported target
ABL1-D010051	0.831	3	ABL1-D010051	ABL1	D010051	Ovarian Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	genetically supported target
ABL1-D010190	0.535	3	ABL1-D010190	ABL1	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
ABL1-D010300	0.376	4	ABL1-D010300	ABL1	D010300	Parkinson Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase III	0.12	4	2	both	unsupported target
ABL1-D011087	0.533	3	ABL1-D011087	ABL1	D011087	Polycythemia Vera	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D011471	0.757	4	ABL1-D011471	ABL1	D011471	Prostatic Neoplasms	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase III	NA	NA	3	both	unsupported target
ABL1-D013274	0.534	3	ABL1-D013274	ABL1	D013274	Stomach Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
ABL1-D015179	0.553	3	ABL1-D015179	ABL1	D015179	Colorectal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ABL1-D015451	0.455	3	ABL1-D015451	ABL1	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	2	both	unsupported target
ABL1-D015464	0.494	5	ABL1-D015464	ABL1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Launched	0.75	1	3	both	unsupported target
ABL1-D015470	0.393	5	ABL1-D015470	ABL1	D015470	Leukemia, Myeloid, Acute	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
ABL1-D016889	1	3	ABL1-D016889	ABL1	D016889	Endometrial Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	genetically supported target
ABL1-D017681	0.477	3	ABL1-D017681	ABL1	D017681	Hypereosinophilic Syndrome	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	1	both	unsupported target
ABL1-D019337	0.535	3	ABL1-D019337	ABL1	D019337	Hematologic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
ABL1-D019578	0.363	1	ABL1-D019578	ABL1	D019578	Multiple System Atrophy	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Preclinical	0.12	4	NA	both	unsupported target
ABL1-D020961	0.344	3	ABL1-D020961	ABL1	D020961	Lewy Body Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3885	D014012	Tinnitus	OTG	NA	Tinnitus / tiniitis | non-cancer illness code, self-reported	https://genetics.opentargets.org/study/NEALE2_20002_1597	2018	NA	NA	0.024889524304653	0.12	4	Phase II	0.12	4	1	both	unsupported target
ABL1-D046152	0.514	4	ABL1-D046152	ABL1	D046152	Gastrointestinal Stromal Tumors	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase III	NA	NA	3	omim/tcga	unsupported target
ABL1-D054198	0.468	5	ABL1-D054198	ABL1	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Launched	0.75	1	3	both	unsupported target
ABL1-D054990	0.228	3	ABL1-D054990	ABL1	D054990	Idiopathic Pulmonary Fibrosis	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	1	both	unsupported target
ABL1-D055752	0.518	3	ABL1-D055752	ABL1	D055752	Small Cell Lung Carcinoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3886	D016889	Endometrial Neoplasms	intOGen	tumor suppressor	Endometrial Carcinoma	https://www.intogen.org/search?gene=ABL1&cancer=UCEC	2023	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
ACACA-D000152	0.233	3	ACACA-D000152	ACACA	D000152	Acne Vulgaris	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	5865	D001778	Blood Coagulation Disorders	OTG	NA	Hematocrit	https://genetics.opentargets.org/study/GCST90002308	2020	NA	NA	0.352780665280665	0.1	3	Phase II	0.1	3	2	both	unsupported target
ACACA-D002289	0.232	1	ACACA-D002289	ACACA	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	5865	D001778	Blood Coagulation Disorders	OTG	NA	Hematocrit	https://genetics.opentargets.org/study/GCST90002308	2020	NA	NA	0.352780665280665	0.1	3	Preclinical	0.1	3	0	both	unsupported target
ACACA-D003920	0.508	1	ACACA-D003920	ACACA	D003920	Diabetes Mellitus	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	5870	D008052	Lipid Metabolism, Inborn Errors	OMIM	NA	Acetyl-CoA carboxylase deficiency, 613933 (1), Autosomal recessive	https://omim.org/entry/200350	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
ACACA-D003924	0.482	3	ACACA-D003924	ACACA	D003924	Diabetes Mellitus, Type 2	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	5870	D008052	Lipid Metabolism, Inborn Errors	OMIM	NA	Acetyl-CoA carboxylase deficiency, 613933 (1), Autosomal recessive	https://omim.org/entry/200350	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
